Time,Temperature,Humidity,Status
2026-09-13 17:26:25,26.67,47.06,Normal
2026-09-13 17:31:25,25.59,45.89,Normal
2026-09-13 17:36:25,25.59,45.12,Normal
2026-09-13 17:41:25,25.62,46.14,Normal
2026-09-13 17:46:25,25.82,45.28,Normal
2026-09-13 17:51:25,25.72,44.66,Normal
2026-09-13 17:56:25,25.49,44.35,Normal
2026-09-13 18:01:25,25.71,44.73,Normal
2026-09-13 18:06:25,25.43,44.0,Normal
2026-09-13 18:11:25,25.37,43.25,Normal
2026-09-13 18:16:25,25.78,43.73,Normal
2026-09-13 18:21:25,25.84,43.93,Normal
2026-09-13 18:26:25,26.22,43.99,Normal
2026-09-13 18:31:25,25.41,43.7,Normal
2026-09-13 18:36:25,25.26,45.05,Normal
2026-09-13 18:41:25,24.34,44.75,Normal
2026-09-13 18:46:25,30.63,45.46,Warning
2026-09-13 18:51:25,30.53,44.31,Warning
2026-09-13 18:56:25,30.8,44.44,Warning
2026-09-13 19:01:25,30.89,45.01,Warning
2026-09-13 19:06:25,30.52,44.68,Warning
2026-09-13 19:11:25,30.79,44.26,Warning
2026-09-13 19:16:25,31.04,44.85,Warning
2026-09-13 19:21:25,30.99,43.34,Warning
2026-09-13 19:26:25,30.44,43.7,Warning
2026-09-13 19:31:25,31.16,43.38,Warning
2026-09-13 19:36:25,31.04,42.52,Warning
2026-09-13 19:41:25,30.09,42.91,Warning
2026-09-13 19:46:25,29.3,42.98,Normal
2026-09-13 19:51:25,29.31,44.42,Normal
2026-09-13 19:56:25,29.41,44.62,Normal
2026-09-13 20:01:25,29.61,45.93,Normal
2026-09-13 20:06:25,29.1,45.58,Normal
2026-09-13 20:11:25,28.97,44.26,Normal
2026-09-13 20:16:25,29.44,46.06,Normal
2026-09-13 20:21:25,28.89,44.14,Normal
2026-09-13 20:26:25,36.71,43.59,Critical
2026-09-13 20:31:25,36.62,42.65,Critical
2026-09-13 20:36:25,36.59,44.24,Critical
2026-09-13 20:41:25,40.0,43.18,Critical
2026-09-13 20:46:25,39.55,43.93,Critical
2026-09-13 20:51:25,39.76,43.79,Critical
2026-09-13 20:56:25,40.0,43.38,Critical
2026-09-13 21:01:25,40.0,44.8,Critical
